model,accuracy,f1_score,precision,recall,adaptation_count,adaptation_time_sec,total_drifts_detected
Static (No Adapt),0.91747986736144,0.917345777142776,0.9175167593826764,0.91747986736144,0,0.017954822999854514,0
Full Retrain (ADWIN) (ADWIN),0.9330175272382757,0.932950011566561,0.9330111282780378,0.9330175272382757,1,0.031063649999850895,1
Full Retrain (DDM) (DDM),0.9347228801515869,0.9346730287318057,0.9346995418608967,0.9347228801515869,5,0.09253879899961248,5
Selective Adapt (ADWIN) (ADWIN),0.9236380862150639,0.9233732545066002,0.924273226516913,0.9236380862150639,1,0.020421558000180084,1
Selective Adapt (DDM) (DDM),0.9238275698720986,0.9235609966688163,0.9244774675685199,0.9238275698720986,1,0.03250868800023454,1
Selective Adapt (Page-Hinkley) (Page-Hinkley),0.9320701089531028,0.9318711115260858,0.9325530940293177,0.9320701089531028,2,0.027916111999729765,2
Boosted ARF-DWM Forest (Micro-DDM) [DDM],0.9416390336333491,0.9415602659254169,0.9417047506788425,0.9416390336333491,116,0.21543246500095847,111
Boosted ARF-DWM Forest (Micro-ADWIN) [ADWIN],0.9378493604926575,0.9377221665145231,0.9380675890291243,0.9378493604926575,45,0.07757908299936389,29
Adaptive XGBoost (GPU RTX 5070) (ADWIN),0.9217432496447181,0.9216356057482991,0.9217540865861018,0.9217432496447181,1,0.35184598600017125,1
Adaptive Online SVM (Incremental),0.9030791094268119,0.9030004152735176,0.9030044955848342,0.9030791094268119,10555,11.827005278997149,10555
